CocState,CoC,HudNum,year,HIC Date,Beds HH w/ Children,Units HH w/ Children,Veteran Beds HH w/ Children,Youth Beds HH w/ Children,CH Beds HH w/ Children,Beds HH w/ only Children,CH Beds HH w only Children
TX,Austin/Travis County CoC,TX-503,2020,1/25/2020 0:00,0,0,0,0,,0,
TX,Austin/Travis County CoC,TX-503,2020,1/25/2020 0:00,,,0,0,,,
CA,Lake County CoC,CA-529,2020,1/27/2020 0:00,22,1,0,0,,0,
MD,Mid-Shore Regional CoC,MD-511,2020,1/29/2020 0:00,0,0,0,0,,0,
CA,Bakersfield/Kern County CoC,CA-604,2020,1/24/2020 0:00,0,0,0,0,,0,
CA,Bakersfield/Kern County CoC,CA-604,2020,1/24/2020 0:00,0,0,0,0,,0,
CA,Bakersfield/Kern County CoC,CA-604,2020,1/24/2020 0:00,0,0,0,0,,0,
CA,Bakersfield/Kern County CoC,CA-604,2020,1/24/2020 0:00,57,11,0,0,,0,
CA,Bakersfield/Kern County CoC,CA-604,2020,1/24/2020 0:00,57,12,0,0,,0,
CA,Mendocino County CoC,CA-509,2020,1/30/2020 0:00,0,0,0,0,0,0,0
WA,Washington Balance of State CoC,WA-501,2020,1/23/2020 0:00,4,2,0,0,,0,
WA,Washington Balance of State CoC,WA-501,2020,1/23/2020 0:00,4,2,0,0,,0,
WA,Washington Balance of State CoC,WA-501,2020,1/23/2020 0:00,7,3,0,0,,0,
WA,Washington Balance of State CoC,WA-501,2020,1/23/2020 0:00,1,1,0,0,,0,
WA,Washington Balance of State CoC,WA-501,2020,1/23/2020 0:00,11,3,11,0,0,0,0
WA,Washington Balance of State CoC,WA-501,2020,1/23/2020 0:00,0,0,0,0,,0,
WA,Washington Balance of State CoC,WA-501,2020,1/23/2020 0:00,0,0,0,0,0,0,0
WA,Washington Balance of State CoC,WA-501,2020,1/23/2020 0:00,0,0,0,0,,0,
WA,Washington Balance of State CoC,WA-501,2020,1/23/2020 0:00,0,0,0,0,,0,
WA,Washington Balance of State CoC,WA-501,2020,1/23/2020 0:00,0,0,0,0,,0,
WA,Washington Balance of State CoC,WA-501,2020,1/23/2020 0:00,50,11,0,0,,0,
